Country,location_name,latitude,longitude,last_updated,temperature_celsius,precip_mm,humidity,air_quality_PM2.5,air_quality_PM10
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2023/8/29 5:45,28.8,0.9,78,1.8,5.5
Samoa,Apia,-13.83,-171.73,2023/8/29 22:45,26,0.6,84,3.3,16.1
San Marino,San Marino,43.93,12.45,2023/8/29 11:45,21,0,64,1.2,1.3
Belgium,'S-Gravenwezel,51.27,4.55,2023/8/29 11:45,17,0,77,5.5,7.9
Saudi Arabia,Riyadh,24.64,46.77,2023/8/29 12:30,42,0,6,59,211.6
Senegal,Dakar,14.67,-17.44,2023/8/29 9:45,27,3.6,89,8.9,10.1
Serbia,Belgrade,44.8,20.47,2023/8/29 11:30,24,0.1,65,14.1,15.4
Seychelles Islands,Victoria,-4.62,55.45,2023/8/29 13:30,26.3,0.5,85,4.1,8.5
Sierra Leone,Freetown,8.49,-13.23,2023/8/29 9:45,24,1.5,100,1.6,3.1
Singapore,Singapore,1.29,103.86,2023/8/29 17:30,31,0.4,59,23.6,26.2
Slovakia,Bratislava,48.15,17.12,2023/8/29 11:30,19,0,88,12.1,12.7
Slovenia,Ljubljana,46.06,14.51,2023/8/29 11:30,16,0.8,100,3,3.6
Solomon Islands,Honiara,-9.43,159.95,2023/8/29 20:45,27,0.1,79,1.3,2.8
Somalia,Mogadishu,2.07,45.37,2023/8/29 12:45,29,0,84,7.8,16.2
South Africa,Pretoria,-25.75,28.19,2023/8/29 11:45,18,0,30,56.3,79.1
South Korea,Seoul,37.57,127,2023/8/29 18:30,23,0,94,4.9,5.7
Sudan,Juba,12.15,24.45,2023/8/29 11:45,31.2,0,43,8.1,39.6
Spain,Madrid,40.4,-3.68,2023/8/29 11:45,20,0,49,2.5,3.6
Sri Lanka,Colombo,6.93,79.85,2023/8/29 15:15,31,0.1,66,1.5,3.8
Sudan,Khartoum,15.59,32.53,2023/8/29 11:45,30.4,0,49,13,68.5
Suriname,Paramaribo,5.83,-55.17,2023/8/29 6:45,25,0,94,1,2.9
Sweden,Stockholm,59.33,18.05,2023/8/29 11:45,18,0,64,2.8,6.1
Switzerland,Bern,46.92,7.47,2023/8/29 11:30,14,0,77,4.1,4.2
Syria,Damascus,33.5,36.3,2023/8/29 12:45,32,0,30,6.9,9.7
Tajikistan,Dushanbe,38.56,68.77,2023/8/29 14:30,32,0,17,2,5.6
Tanzania,Dodoma,-6.18,35.75,2023/8/29 12:30,23,0,53,1.4,2.6
Thailand,Bangkok,13.75,100.52,2023/8/29 16:45,33,0.1,56,10,19.9
Indonesia,Murong Timor,-7.56,112.27,2023/8/29 16:45,33.5,0,30,41.1,54
Bulgaria,Lom,43.81,23.24,2023/8/29 12:45,31.3,0,31,7.5,8.4
Tonga,Nuku`Aloia,-21.13,-175.2,2023/8/29 22:45,21,0.1,78,1.2,5.5
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2023/8/29 5:30,26,0.1,89,2.1,5.5
Tunisia,Tunis,36.8,10.18,2023/8/29 10:45,29,0,40,2.4,8.5
Turkey,Ankara,39.93,32.86,2023/8/29 12:45,28,0,28,13.3,14.4
Turkmenistan,Ashgabat,37.95,58.38,2023/8/29 14:45,35,0,19,19,36.8
Tuvalu,Funafuti,-8.52,179.22,2023/8/29 21:45,29,0.3,89,1.6,6.8
Uganda,Kampala,0.32,32.57,2023/8/29 12:45,25,1.5,69,4,7.4
Ukraine,Lviv,49.83,24,2023/8/29 12:30,29.4,0,41,13.3,16.2
United Arab Emirates,Abu Dhabi,24.47,54.37,2023/8/29 13:45,45,0,10,82.6,126.1
United Kingdom,London,51.52,-0.11,2023/8/29 10:45,18,0,68,4,6.1
United States of America,Washington Park,46.6,-120.49,2023/8/29 2:45,23.3,0,45,9.6,10.9
Uruguay,Montevideo,-34.86,-56.17,2023/8/29 6:30,7,0,93,2.8,5.4
Uzbekistan,Tashkent,41.32,69.25,2023/8/29 14:30,31,0,14,7.1,23.1
Vanuatu,Port Vila,-17.73,168.32,2023/8/29 20:45,22,2.6,100,4.8,10.4
Venezuela,Caracas,10.5,-66.92,2023/8/29 5:45,25,0.5,79,25.6,27.2
Vietnam,Hanoi,21.03,105.85,2023/8/29 16:45,30,0,66,12.9,16.7
Yemen,Sanaa,15.35,44.21,2023/8/29 12:45,25.3,0.2,31,17.5,47.1
Zambia,Lusaka,-15.42,28.28,2023/8/29 11:45,19.8,0,28,17.3,23.6
Zimbabwe,Harare,-17.82,31.04,2023/8/29 11:45,19,0,25,17.4,21.5
Afghanistan,Kabul,34.52,69.18,2023/8/30 7:30,21.3,0,54,31.7,39.3
Albania,Tirana,41.33,19.82,2023/8/30 5:00,22,0,73,4.5,6.6
Algeria,Algiers,36.76,3.05,2023/8/30 4:00,19,0,73,5.3,14
Andorra,Andorra La Vella,42.5,1.52,2023/8/30 4:45,2.9,0,91,0.8,1.1
Angola,Luanda,-8.84,13.23,2023/8/30 3:45,21,0,94,8.5,23.1
Antigua and Barbuda,Saint John's,17.12,-61.85,2023/8/29 22:45,29,0,75,7.7,14.2
Argentina,Buenos Aires,-34.59,-58.67,2023/8/29 23:45,11,0,82,2.9,4
Armenia,Yerevan,40.18,44.51,2023/8/30 7:00,18,0,60,2.2,2.5
Australia,Canberra,-35.28,149.22,2023/8/30 13:00,16,0,55,3.8,5.8
Austria,Vienna,48.2,16.37,2023/8/30 4:45,15,0,82,3,3.4
Azerbaijan,Baku,40.4,49.88,2023/8/30 6:45,23,0,57,0.9,2
Bahamas,Nassau,25.08,-77.35,2023/8/29 22:45,30,0,79,13.9,16.8
Bahrain,Manama,26.24,50.58,2023/8/30 5:45,33,0,67,28.7,73.1
Bangladesh,Dhaka,23.72,90.41,2023/8/30 8:45,30.6,0,61,153.9,186.2
Barbados,Bridgetown,13.1,-59.62,2023/8/29 23:00,28,0.3,89,2.3,4.6
Belarus,Minsk,53.9,27.57,2023/8/30 5:45,20,0,88,8.3,8.9
Belgium,Brussels,50.83,4.33,2023/8/30 5:00,12,0,88,11.2,14
Belize,Belmopan,17.25,-88.77,2023/8/29 21:00,24.4,0.1,91,2.9,3.1
Benin,Porto-Novo,6.48,2.62,2023/8/30 4:00,26,0.1,89,6.3,12.4
Bhutan,Thimphu,27.48,89.6,2023/8/30 9:00,18.3,0,65,14.1,14.4
Bolivia,Sucre,-19.04,-65.26,2023/8/29 23:00,13,0,52,11.8,14.3
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2023/8/30 4:45,16,3.5,88,1.7,2.6
Botswana,Gaborone,-24.65,25.91,2023/8/30 5:00,9,0,66,2.7,4.3
Brazil,Bras,-2.08,-58.17,2023/8/29 23:00,26.9,0,38,2.8,3.8
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2023/8/30 11:00,32,0,75,2.3,2.5
Bulgaria,Sofia,42.68,23.32,2023/8/30 5:45,17,0.5,88,10.3,12.4
Burkina Faso,Ouagadougou,12.37,-1.52,2023/8/30 3:00,24.6,0,81,5,10.8
Burundi,Bujumbura,-3.38,29.36,2023/8/30 5:00,22.5,0,57,28.7,65.1
Madagascar,Ivory,-24.37,46.45,2023/8/30 6:00,13.2,0,83,2.4,3.9
Cape Verde,Praia,14.93,-23.51,2023/8/30 2:00,26,0.6,89,17.5,102.6
Cambodia,Phnom Penh,11.55,104.92,2023/8/30 10:00,32,0,67,1.8,6.5
Cameroon,Bafoussam,5.47,10.42,2023/8/30 4:00,16.9,0,97,14.7,19.7
Canada,Ottawa,45.42,-75.7,2023/8/29 22:45,20,0,88,2.7,2.9
Central African Republic,Bangui,4.37,18.58,2023/8/30 4:00,23,0,89,0.6,0.9
Chad,N'djamena,12.11,15.05,2023/8/30 4:00,24,0,89,8.5,10.8
Chile,Santiago,-33.45,-70.67,2023/8/29 22:45,13,0,58,537.3,644.5
China,Beijing,39.93,116.39,2023/8/30 11:00,29,0,43,150.9,186
Bulgaria,Bogot,43.32,24.7,2023/8/30 6:00,18.5,0.3,89,7.9,8.1
Comoros,Moroni,-11.7,43.24,2023/8/30 6:00,23.3,0.2,82,4.6,10.5
Congo,Brazzaville,-4.26,15.28,2023/8/30 4:00,24,0,78,38.4,51.3
Costa Rica,San Juan,9.97,-84.08,2023/8/29 21:00,23,0,94,37.4,38.6
Croatia,Zagreb,45.8,16,2023/8/30 4:45,16,0,88,2.6,2.8
Cuba,Havana,23.13,-82.36,2023/8/29 23:00,27,0,100,5.3,6.2
Cyprus,Nicosia,35.17,33.37,2023/8/30 6:00,22,0,73,20.8,33.8
Czech Republic,Prague,50.08,14.47,2023/8/30 4:45,13,0.1,94,4.6,5.5
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2023/8/30 4:00,24,0,78,38.4,51.3
Denmark,Copenhagen,55.67,12.58,2023/8/30 4:45,14,0,82,3.8,5.7
Djibouti,Djibouti,11.6,43.15,2023/8/30 6:00,33,0.2,53,9.1,14.8
Dominica,Roseau,15.3,-61.4,2023/8/29 23:00,28.3,1,79,2.4,4.6
Dominican Republic,Santo Domingo,18.47,-69.9,2023/8/29 23:00,27,0,94,20.5,32.3
Ecuador,Quito,-0.22,-78.5,2023/8/29 22:00,11.5,0,61,32,37.7
Egypt,Cairo,30.05,31.25,2023/8/30 5:45,26,0,70,26.9,38.4
El Salvador,San Salvador,13.71,-89.2,2023/8/29 20:45,27,0,94,12.6,16.6
Equatorial Guinea,Malabo,3.75,8.78,2023/8/30 4:00,24.1,3.3,91,1.7,2
Eritrea,Asmara,15.33,38.93,2023/8/30 5:45,18.2,0,60,25.2,82.3
Estonia,Tallinn,59.43,24.73,2023/8/30 5:45,14,0.1,94,3.3,3.7
Swaziland,Mbabane,-26.32,31.13,2023/8/30 5:00,7.6,0,87,10.7,14.4
Ethiopia,Addis Ababa,9.03,38.7,2023/8/30 6:00,14,0,100,12.8,95.8
Fiji Islands,Suva,-18.13,178.42,2023/8/30 14:45,26,0,70,3.3,10.7
Finland,Helsinki,60.18,24.93,2023/8/30 6:00,12,0,100,7.8,9.8
France,Paris,48.87,2.33,2023/8/30 4:45,14,0,88,9.7,12.6
Gabon,Libreville,0.38,9.45,2023/8/30 4:00,25,0,94,4.9,7.9
Gambia,Banjul,13.45,-16.58,2023/8/30 3:00,24,0.6,89,1.1,1.7
Georgia,Tbilisi,41.73,44.79,2023/8/30 6:45,20,0.1,83,3.5,5
Germany,Berlin,52.52,13.4,2023/8/30 4:45,14,0,94,3.9,4.3
Ghana,Accra,5.55,-0.22,2023/8/30 3:00,26,0,89,6.1,10.9
Greece,Athens,37.98,23.72,2023/8/30 6:00,26,0,48,27.2,31.7
Grenada,Saint George's,12.05,-61.75,2023/8/29 23:00,27,0,89,1.8,3.8
Guatemala,Guatemala City,14.62,-90.53,2023/8/29 20:45,18.2,1.1,97,36.5,43
Guinea,Conakry,9.51,-13.71,2023/8/30 3:00,25,7.7,94,0.8,2.3
Guinea-Bissau,Bissau,11.85,-15.58,2023/8/30 3:00,24.8,1,89,1,1.6
Guyana,Georgetown,6.8,-58.17,2023/8/29 23:00,26,0.1,94,1.6,6.3
Haiti,Port-Au-Prince,18.54,-72.34,2023/8/29 23:00,30,0,70,8.1,21.1
Vatican City,Vatican City,41.9,12.45,2023/8/30 5:00,17,0,88,5.4,7.1
Honduras,Tegucigalpa,14.1,-87.22,2023/8/29 21:00,25,0.8,74,9.4,30.1
Hungary,Budapest,47.5,19.08,2023/8/30 5:00,16,0.6,100,13.5,14.5
Iceland,Hella,63.83,-20.4,2023/8/30 3:00,10,0.2,91,1.3,2.5
India,New Delhi,28.6,77.2,2023/8/30 8:30,29,0,66,15.4,38.3
Indonesia,Jakarta,-6.21,106.85,2023/8/30 9:45,30,0,62,243.3,317.8
Iran,Tehran,35.73,51.33,2023/8/30 6:30,22,0,57,14.8,39.6
Iraq,Baghdad,33.34,44.39,2023/8/30 5:45,28,0,35,12.6,41.1
Ireland,Dublin,53.33,-6.25,2023/8/30 3:45,11,0,94,2.9,6.4
Israel,Jerusalem,31.78,35.23,2023/8/30 5:45,25,0,79,15.4,29.6
Italy,Rome,41.9,12.48,2023/8/30 5:00,17,0,88,5.4,7.1
Jamaica,Norman Gardens,17.97,-76.75,2023/8/29 22:00,31,0,75,11.1,22.3
Japan,Tokyo,35.69,139.69,2023/8/30 12:00,34,0,53,4.8,6.3
Jordan,Amman,31.95,35.93,2023/8/30 6:00,21,0,69,19.2,34.2
Kazakhstan,Astana,51.18,71.43,2023/8/30 9:00,16,0,77,4.7,12.8
Kenya,Nairobi,-1.28,36.82,2023/8/30 5:45,16,0,82,8.7,21.4
Kiribati,Tarawa,-0.88,169.53,2023/8/30 15:00,28.5,1.4,76,0.7,3.5
Kuwait,Kuwait City,29.37,47.96,2023/8/30 6:00,33.2,0,30,25.8,84.3
Kyrghyzstan,Bishkek,42.87,74.6,2023/8/30 9:00,23,0,21,5.8,8.3
Indonesia,Laos,-8.18,114.32,2023/8/30 10:00,27.5,0,65,20.4,37.5
Latvia,Riga,56.95,24.1,2023/8/30 6:00,16,0.1,88,2.9,3.3
Lebanon,Beirut,33.87,35.51,2023/8/30 5:45,28,0,62,13.1,27.6
Lesotho,Maseru,-29.32,27.48,2023/8/30 5:00,8,0,30,64.7,74.4
Liberia,Monrovia,6.31,-10.8,2023/8/30 3:00,23.3,17.7,96,1.5,1.9
Thailand,Nan,18.78,100.78,2023/8/30 10:00,26,1.8,94,4.1,4.7
Liechtenstein,Vaduz,47.13,9.52,2023/8/30 5:00,12,0,100,5.5,6.6
Lithuania,Vilnius,54.68,25.32,2023/8/30 5:45,22,0,73,7.6,8.5
Luxembourg,Luxembourg,49.61,6.13,2023/8/30 5:00,11,0,100,6.1,7.6
Madagascar,Antananarivo,-18.92,47.52,2023/8/30 6:00,14,0,77,2.1,4.6
Malawi,Lilongwe,-13.98,33.78,2023/8/30 5:00,12.3,0,83,4.4,6.1
Malaysia,Kuala Lumpur,3.17,101.7,2023/8/30 11:00,28,0,79,51.1,60.1
Maldives,Farukolhufunadhoo,6.15,73.27,2023/8/30 8:00,27.7,0,72,1,2.4
Mali,Bamako,12.65,-8,2023/8/30 3:00,23,0,100,42.1,47.7
Malta,Valletta,35.9,14.51,2023/8/30 4:45,23,0,69,3.2,13.2
Marshall Islands,Majuro,7.1,171.38,2023/8/30 15:00,31,0.1,71,1.8,4.8
