original_name,standard_name
Kyrgyz Republic,Kyrgyz Republic
Kyrgyzstan,Kyrgyzstan
Lao PDR,Lao PDR
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macao,Macao
"Macao SAR, China","Macao SAR, China"
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
Micronesia,Micronesia
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts."
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,Norfolk Island
North Korea,North Korea
North Macedonia,North Macedonia
Northern Cyprus,Northern Cyprus
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestina,Palestina
Panama,Panama
Papua New Guinea,Papua New Guinea
Paracel Islands,Paracel Islands
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Pitcairn Islands,Pitcairn Islands
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Congo,Republic of Congo
Reunion,Reunion
Romania,Romania
Russia,Russia
Russian Federation,Russian Federation
Rwanda,Rwanda
Saint Helena,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Saint-Barthélemy,Saint-Barthélemy
Saint-Martin,Saint-Martin
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten,Sint Maarten
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Slovak Republic,Slovak Republic
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Kitts and Nevis,St. Kitts and Nevis
St. Lucia,St. Lucia
St. Martin (French part),St. Martin (French part)
St. Vincent and the Grenadines,St. Vincent and the Grenadines
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Syrian Arab Republic,Syrian Arab Republic
São Tomé and Príncipe,São Tomé and Príncipe
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkiye,Turkiye
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Vatican City
Venezuela,Venezuela
"Venezuela, RB","Venezuela, RB"
Vietnam,Vietnam
Virgin Islands (U.S.),Virgin Islands (U.S.)
Virgin Islands; U.S.,Virgin Islands; U.S.
Wallis and Futuna,Wallis and Futuna
West Bank and Gaza,West Bank and Gaza
Western Sahara,Western Sahara
Yemen,Yemen
"Yemen, Rep.","Yemen, Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
